Player,Span,MatDescending,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Education,City
MDK Perera,20072021,59,1456,95,17.54,0,177,Jun-32,35.37,8,21,0,17.83
DSBP Kuruppu,19831991,58,1342,201*,23.54,1,,,,,31,8,
S Wettimuny,19821987,58,2007,190,27.12,2,1,Jan-13,107,0,13,0,79.87
I Udana,20092021,56,493,84*,17.6,0,45,03-Nov,41.44,0,10,0,23.83
KR Pushpakumara,19942001,54,202,44,8.78,0,82,7/116,41.74,4,18,0,32.96
TAM Siriwardana,20152019,54,1089,68,22.68,0,28,Mar-25,36.07,0,15,0,13.38
T Thushara,20032010,54,490,54*,14.41,0,85,May-47,30.72,2,9,0,16.31
DS de Silva,19751985,53,777,61,20.44,0,69,May-59,42.08,1,10,0,21.63
GF Labrooy,19861992,53,407,70*,10.17,0,72,May-57,42.63,2,11,0,32.46
VB John,19821987,51,137,27*,9.78,0,62,May-60,36.59,2,7,0,26.81
S Randiv,20092016,50,435,56,12.79,0,86,May-42,34.48,2,8,0,21.69
KTGD Prasad,20062015,50,605,47,14.06,0,107,May-50,34.68,1,7,0,20.61
DAS Gunaratne,20162019,49,1255,116,33.02,2,30,03-Oct,34.7,0,21,0,1.67
S Samarawickrama,20172023,49,1380,108,29.36,2,,,,,20,4,
KSC de Silva,19962000,46,104,27,8,0,68,May-85,32.52,1,17,0,24.52
SHT Kandamby,20042014,44,883,93*,25.97,0,2,Feb-37,86.5,0,11,0,60.52
HMCM Bandara,19982010,43,296,43,12.86,0,56,Apr-31,35.01,0,14,0,22.14
MAR Samarasekera,19831994,43,962,76,21.86,0,3,Feb-38,131.66,0,8,0,109.8
RG de Alwis,19831988,42,553,59*,14.55,0,,,,,48,5,
PBB Rajapaksa,20192023,42,767,77,23.24,0,,,,,8,0,
RMS Eranga,20112016,41,233,45*,12.26,0,81,Apr-49,35.97,0,11,0,23.71
JK Silva,20112018,39,2099,139,28.36,3,,,,,34,1,
EAR de Silva,19851992,38,323,50,12.42,0,25,Mar-38,79.96,0,10,0,67.53
BOP Fernando,20192023,36,1367,102,29.71,1,0,,,0,15,0,
JDF Vandersay,20152023,35,123,25,9.46,0,34,04-Oct,37.2,0,6,0,27.74
UWMBCA Welegedara,20072014,33,224,48,8.96,0,71,May-52,38.97,3,7,0,30.01
NT Paranavitana,20092012,32,1792,111,32.58,2,1,Jan-26,86,0,27,0,53.41
GSNFG Jayasuriya,20152020,30,436,96,17.44,0,6,01-Nov,81.66,0,5,0,64.22
MVT Fernando,20162023,29,138,38,8.62,0,55,5/101,40.4,1,3,0,31.77
PDRL Perera,19992007,29,41,11*,5.12,0,36,Mar-23,43.27,0,4,0,38.15
SAR Silva,19831988,29,794,111,23.35,2,,,,,50,4,
KIW Wijegunawardene,19881992,28,34,8*,3.4,0,32,Apr-49,35.4,0,3,0,32
PB Dassanayake,19931994,27,281,36,12.21,0,,,,,28,9,
KS Lokuarachchi,20032012,27,315,69,15,0,38,Apr-44,28.1,0,7,0,13.1
D Madushanka,20222023,27,35,19,5.83,0,43,May-80,27.34,1,7,0,21.51
RAP Nissanka,20012003,27,71,12*,6.45,0,37,May-64,33.05,1,3,0,26.59
TCB Fernando,20012003,26,161,45,17.88,0,33,May-67,41.75,1,7,0,23.86
SMA Priyanjan,20132017,26,474,74,24.94,0,5,02-Nov,46.6,0,7,0,21.65
DK Liyanage,19922001,25,213,43,11.83,0,27,Apr-56,43.55,0,6,0,31.72
PW Gunaratne,20022003,23,36,15*,7.2,0,27,Apr-44,33.62,0,3,0,26.42
SS Pathirana,20152017,23,359,56,19.94,0,20,Mar-37,41.95,0,4,0,22
ASA Perera,19982001,23,272,56*,19.42,0,14,Feb-25,50.14,0,5,0,30.71
S Ranatunga,19941997,22,784,118,29.03,2,,,,,4,0,
MG Vandort,20012008,21,1192,140,37.25,4,,,,,6,0,
SI de Saram,19992009,20,300,39,18.75,0,,,,,11,0,
